id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6523,SBFZ,large_airport,Pinto Martins International Airport,-3.776282,-38.532582,82,SA,BR,BR-CE,Fortaleza,yes,SBFZ,FOR,,,,
3707,SBGR,large_airport,São Paulo-Guarulhos International Airport,-23.435556,-46.473056,2459,SA,BR,BR-SP,São Paulo,yes,SBGR,GRU,,,,
3706,SBGL,large_airport,Rio de Janeiro-Galeão International Airport,-22.813,-43.250561,28,SA,BR,BR-RJ,Rio de Janeiro,yes,SBGL,GIG,,,,
3703,SBCF,large_airport,Tancredo Neves International Airport,-19.624444,-43.971944,2715,SA,BR,BR-MG,Belo Horizonte,yes,SBCF,CNF,,,,
3701,SBBR,large_airport,Brasília-President Juscelino Kubitschek International Airport,-15.869167,-47.920834,3497,SA,BR,BR-DF,Brasília,yes,SBBR,BSB,,,,
14547,SSTR,small_airport,Torres Airport,-29.412899,-49.808998,30,SA,BR,BR-RS,Torres,no,SSTR,,,,,
3700,SBBH,small_airport,Belo Horizonte-Pampulha Airport,-19.851944,-43.950556,2589,SA,BR,BR-MG,Belo Horizonte,yes,SBBH,PLU,,,,
14521,SSRA,heliport,Rancho do Peixe Heliport,-5.0,-39.0,20,SA,BR,BR-CE,Somewhere,no,SSRA,,,,,
14522,SNZZ,closed,Abandoned Airport,-4.0,-38.0,50,SA,BR,BR-CE,Nowhere,no,SNZZ,,,,,
14523,SSEA,seaplane_base,Some Seaplane,-3.0,-37.0,0,SA,BR,BR-CE,Coast,no,SSEA,,,,,
3501,KJFK,large_airport,John F Kennedy International Airport,40.639447,-73.779245,13,NA,US,US-NY,New York,yes,KJFK,JFK,,,,
3511,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,NA,US,US-CA,Los Angeles,yes,KLAX,LAX,,,,
3500,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,672,NA,US,US-IL,Chicago,yes,KORD,ORD,,,,
2463,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83,EU,GB,GB-ENG,London,yes,EGLL,LHR,,,,
2464,EGKK,large_airport,London Gatwick Airport,51.148056,-0.190278,202,EU,GB,GB-ENG,London,yes,EGKK,LGW,,,,
2465,LFPG,large_airport,Charles de Gaulle International Airport,49.012779,2.55,392,EU,FR,FR-IDF,Paris,yes,LFPG,CDG,,,,
2466,EHAM,large_airport,Amsterdam Airport Schiphol,52.308601,4.76389,-11,EU,NL,NL-NH,Amsterdam,yes,EHAM,AMS,,,,
99991,,small_airport,Unregistered strip,0.0,0.0,0,AF,NG,NG-LA,Lagos,no,,,,,
99992,XXXX,small_airport,No country,0.0,0.0,0,AF,,NG-LA,Nowhere,no,XXXX,,,,,
2468,SBSP,medium_airport,São Paulo-Congonhas Airport,-23.626111,-46.655552,2631,SA,BR,BR-SP,São Paulo,yes,SBSP,CGH,,,,
